iter	Passed	Remaining
399	55286	13821
400	55403	13678
401	55527	13536
402	55655	13395
403	55840	13268
404	55971	13129
405	56128	12995
406	56268	12857
407	56422	12722
408	56529	12577
409	56659	12437
410	56765	12292
411	56920	12157
412	57027	12012
413	57152	11872
414	57310	11738
415	57473	11605
416	57611	11467
417	57714	11322
418	57825	11178
419	57950	11038
420	58090	10900
421	58248	10766
422	58385	10628
423	58527	10490
424	58626	10345
425	58775	10209
426	58884	10066
427	59057	9934
428	59195	9796
429	59301	9653
430	59443	9516
431	59576	9377
432	59704	9238
433	59837	9099
434	59943	8957
435	60081	8819
436	60215	8680
437	60375	8546
438	60484	8404
439	60650	8270
440	60789	8132
441	60934	7995
442	61089	7860
443	61221	7721
444	61337	7580
445	61493	7445
446	61599	7303
447	61708	7162
448	61854	7025
449	61997	6888
450	62109	6748
451	62283	6614
452	62405	6474
453	62540	6336
454	62663	6197
455	62812	6060
456	62945	5922
457	63098	5786
458	63233	5648
459	63384	5511
460	63521	5373
461	63617	5232
462	63731	5092
463	63908	4958
464	64053	4821
465	64188	4683
466	64315	4544
467	64443	4406
468	64567	4267
469	64712	4130
470	64843	3992
471	65011	3856
472	65176	3720
473	65310	3582
474	65473	3445
475	65647	3309
476	65784	3171
477	65907	3033
478	66012	2894
479	66149	2756
480	66250	2616
481	66379	2478
482	66475	2339
483	66614	2202
484	66742	2064
485	66912	1927
486	67057	1790
487	67211	1652
488	67352	1515
489	67478	1377
490	67588	1238
491	67729	1101
492	67860	963
493	68000	825
494	68115	688
495	68212	550
496	68368	412
497	68531	275
498	68681	137
499	68848	0
